nohup: ignoring input
Waiting for backfill to complete...
Log: backfill_final_20260425_120021.log
[2026-04-25 17:45:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:47:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:49:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:51:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:53:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:55:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:57:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:59:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:01:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:03:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:05:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:07:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:09:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:11:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:13:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:15:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:17:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:19:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:21:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:23:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:25:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:27:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:29:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:31:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:33:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:35:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:37:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:39:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:41:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:43:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:45:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:47:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:49:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:51:21] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 18:53:21] 幣種: 21 / 528 | 總行數: 10082
